1,Florida State,ACC,12,0,1.000,8,0,1.000,38.8,16.8,18.25,1.25,4,8,3,
2,Louisville,ACC,10,2,.833,7,1,.875,33.0,20.0,12.00,2.08,15,,9,
3,North Carolina State,ACC,9,3,.750,6,2,.750,26.8,20.2,8.00,2.50,21,,21,
4,Georgia Tech,ACC,6,6,.500,5,3,.625,31.2,30.5,3.29,3.38,,,,
5,Virginia Tech,ACC,6,6,.500,5,3,.625,28.6,24.3,5.03,1.78,,,,
6,Clemson,ACC,8,4,.667,4,4,.500,29.2,19.9,10.28,3.78,,9,9,
7,North Carolina,ACC,8,4,.667,4,4,.500,36.6,27.1,8.22,1.81,,21,10,
8,Duke,ACC,7,5,.583,4,4,.500,27.8,19.8,8.91,3.07,,,16,
9,Miami (FL),ACC,7,5,.583,3,5,.375,32.1,22.1,9.41,2.66,,,17,
10,Boston College,ACC,6,6,.500,3,5,.375,25.0,29.5,-3.59,0.08,,,,
11,Syracuse,ACC,6,6,.500,2,6,.250,25.5,23.8,-0.41,0.17,,,,
12,Pitt,ACC,3,9,.250,2,6,.250,20.2,27.3,-2.85,3.56,,,,
13,Virginia,ACC,3,9,.250,2,6,.250,23.3,33.8,-3.53,5.06,,,,
14,Wake Forest,ACC,4,8,.333,1,7,.125,20.3,27.2,-2.95,2.89,,,,
15,Tulane,American,11,1,.917,8,0,1.000,27.9,18.3,6.61,-3.72,17,24,17,
16,SMU,American,10,2,.833,8,0,1.000,41.8,17.7,8.98,-4.61,25,,25,
17,UTSA,American,8,4,.667,7,1,.875,31.7,24.7,2.86,-3.89,,,,
18,Memphis,American,9,3,.750,6,2,.750,39.7,29.0,5.69,-3.40,,,,
19,Rice,American,6,6,.500,4,4,.500,30.3,26.7,-1.81,-2.81,,,,
20,South Florida,American,6,6,.500,4,4,.500,30.8,34.9,-6.85,-4.35,,,,
21,Navy,American,5,6,.455,4,4,.500,18.3,22.9,-5.36,-4.00,,,,
22,North Texas,American,5,7,.417,3,5,.375,34.5,37.1,-6.46,-4.38,,,,
23,Florida Atlantic,American,4,8,.333,3,5,.375,23.8,25.5,-6.58,-3.91,,,,
24,UAB,American,4,8,.333,3,5,.375,29.9,36.9,-9.54,-2.54,,,,
25,Tulsa,American,4,8,.333,2,6,.250,23.4,33.8,-7.32,-2.07,,,,
26,Charlotte,American,3,9,.250,2,6,.250,17.5,28.6,-12.71,-2.71,,,,
27,Temple,American,3,9,.250,1,7,.125,21.1,35.7,-14.19,-3.44,,,,
28,East Carolina,American,2,10,.167,1,7,.125,17.3,22.4,-8.42,-0.83,,,,
29,UCF,Big 12,6,6,.500,3,6,.333,32.5,25.4,3.37,0.95,,,,
30,Houston,Big 12,4,8,.333,2,7,.222,23.7,31.5,-2.33,3.84,,,,
31,Cincinnati,Big 12,3,9,.250,1,8,.111,24.1,30.0,-5.58,2.01,,,,
32,Texas,Big 12,11,1,.917,8,1,.889,35.1,17.3,20.58,6.00,7,11,3,
33,Oklahoma,Big 12,10,2,.833,7,2,.778,43.2,22.3,17.74,4.57,12,20,5,
34,Oklahoma State,Big 12,9,3,.750,7,2,.778,30.2,27.3,6.77,2.52,19,,15,
35,Kansas State,Big 12,8,4,.667,6,3,.667,37.8,21.2,15.62,4.96,,16,15,
36,West Virginia,Big 12,8,4,.667,6,3,.667,31.6,27.5,5.95,2.11,,,,
37,Iowa State,Big 12,7,5,.583,6,3,.667,26.3,21.7,8.60,4.52,,,,
38,Kansas,Big 12,8,4,.667,5,4,.556,33.6,25.8,9.00,3.17,,,19,
39,Texas Tech,Big 12,6,6,.500,5,4,.556,26.8,27.0,5.71,4.55,,,,
40,TCU,Big 12,5,7,.417,3,6,.333,31.3,27.8,6.71,4.79,,17,17,
41,BYU,Big 12,5,7,.417,2,7,.222,23.1,29.8,-0.63,3.96,,,,
42,Baylor,Big 12,3,9,.250,2,7,.222,23.1,33.3,-4.76,3.82,,,,
43,Michigan,Big Ten (East),12,0,1.000,9,0,1.000,37.6,10.3,24.12,4.20,2,2,2,
44,Ohio State,Big Ten (East),11,1,.917,8,1,.889,32.8,11.0,21.68,4.93,6,3,2,
45,Penn State,Big Ten (East),10,2,.833,7,2,.778,37.2,11.4,20.05,3.63,10,7,6,
46,Maryland,Big Ten (East),7,5,.583,4,5,.444,29.6,23.3,9.09,3.09,,,,
47,Rutgers,Big Ten (East),6,6,.500,3,6,.333,22.6,21.0,4.54,5.12,,,,
48,Michigan State,Big Ten (East),4,8,.333,2,7,.222,15.9,28.3,-1.01,6.32,,,,
49,Indiana,Big Ten (East),3,9,.250,1,8,.111,22.2,29.9,-2.00,5.00,,,,
50,Iowa,Big Ten (West),10,2,.833,7,2,.778,18.0,12.2,9.03,2.45,18,25,18,
51,Northwestern,Big Ten (West),7,5,.583,5,4,.556,22.8,23.8,2.17,2.67,,,,
52,Wisconsin,Big Ten (West),7,5,.583,5,4,.556,22.8,18.9,6.35,2.27,,19,19,
53,Illinois,Big Ten (West),5,7,.417,3,6,.333,24.5,29.4,0.27,4.52,,,,
54,Minnesota,Big Ten (West),5,7,.417,3,6,.333,20.2,26.9,0.37,4.87,,,,
55,Nebraska,Big Ten (West),5,7,.417,3,6,.333,18.0,18.3,2.39,2.81,,,,
56,Purdue,Big Ten (West),4,8,.333,3,6,.333,23.9,30.4,0.09,5.59,,,,
57,Liberty,CUSA,13,0,1.000,9,0,1.000,40.8,22.7,11.29,-5.56,20,,20,
58,New Mexico State,CUSA,10,4,.714,7,2,.778,28.7,21.8,1.42,-4.94,,,,
59,Jacksonville State,CUSA,8,4,.667,6,2,.750,29.8,20.3,1.26,-5.41,,,,
60,Western Kentucky,CUSA,7,5,.583,5,3,.625,29.8,28.2,0.62,-2.46,,,,
61,Middle Tennessee State,CUSA,4,8,.333,3,5,.375,24.3,28.1,-4.94,-1.94,,,,
62,Louisiana Tech,CUSA,3,9,.250,2,6,.250,25.9,33.4,-10.28,-3.19,,,,
63,Sam Houston,CUSA,3,9,.250,2,6,.250,20.0,26.2,-9.37,-3.71,,,,
64,UTEP,CUSA,3,9,.250,2,6,.250,19.9,28.5,-10.22,-1.97,,,,
65,Florida International,CUSA,4,8,.333,1,7,.125,20.1,31.8,-14.41,-4.58,,,,
66,Notre Dame,Ind,9,3,.750,,,,39.1,16.6,15.80,1.80,16,13,9,
67,Army,Ind,5,6,.455,,,,20.8,22.0,-4.25,-3.25,,,,
68,Connecticut,Ind,3,9,.250,,,,19.1,29.8,-9.66,-2.41,,,,
69,Massachusetts,Ind,3,9,.250,,,,23.2,37.8,-11.41,-0.99,,,,
70,Miami (OH),MAC (East),10,2,.833,7,1,.875,27.3,16.3,2.12,-8.13,,,,
71,Ohio,MAC (East),9,3,.750,6,2,.750,22.9,15.4,-1.44,-8.94,,,,
72,Bowling Green,MAC (East),7,5,.583,5,3,.625,26.3,23.5,-1.17,-4.00,,,,
73,Buffalo,MAC (East),3,9,.250,3,5,.375,20.9,27.4,-11.63,-5.46,,,,
74,Akron,MAC (East),2,10,.167,1,7,.125,16.3,28.0,-18.34,-8.09,,,,
75,Kent State,MAC (East),1,11,.083,0,8,.000,14.7,34.6,-22.09,-6.51,,,,
76,Toledo,MAC (West),11,1,.917,8,0,1.000,35.3,20.4,4.33,-7.67,23,,23,
77,Northern Illinois,MAC (West),6,6,.500,5,3,.625,25.3,21.2,-7.45,-9.29,,,,
